Date,Minuteslightlyactive
2018-01-01,8
2018-01-02,158
2018-01-03,24
2018-01-04,23
2018-01-05,46
2018-01-06,0
2018-01-07,0
2018-01-08,0
2018-01-09,0
2018-01-10,0
2018-01-11,0
2018-01-12,0
2018-01-13,0
2018-01-14,0
2018-01-15,0
2018-01-16,0
2018-01-17,0
2018-01-18,0
2018-01-19,0
2018-01-20,0
2018-01-21,0
2018-01-22,0
2018-01-23,0
2018-01-24,0
2018-01-25,0
2018-01-26,0
2018-01-27,0
2018-01-28,0
2018-01-29,0
2018-01-30,95
2018-01-31,205
2018-02-01,103
2018-02-02,170
2018-02-03,187
2018-02-04,167
2018-02-05,146
2018-02-06,125
2018-02-07,149
2018-02-08,92
2018-02-09,127
2018-02-10,232
2018-02-11,146
2018-02-12,167
2018-02-13,174
2018-02-14,168
2018-02-15,108
2018-02-16,124
2018-02-17,112
2018-02-18,94
2018-02-19,168
2018-02-20,147
2018-02-21,178
2018-02-22,131
2018-02-23,213
2018-02-24,133
2018-02-25,164
2018-02-26,215
2018-02-27,106
2018-02-28,150
2018-03-01,210
2018-03-02,221
2018-03-03,191
2018-03-04,148
2018-03-05,249
2018-03-06,140
2018-03-07,173
2018-03-08,137
2018-03-09,0
2018-03-10,0
2018-03-11,0
2018-03-12,197
2018-03-13,146
2018-03-14,167
2018-03-15,130
2018-03-16,77
2018-03-17,106
2018-03-18,176
2018-03-19,179
2018-03-20,145
2018-03-21,172
2018-03-22,141
2018-03-23,123
2018-03-24,97
2018-03-25,100
2018-03-26,224
2018-03-27,127
2018-03-28,156
2018-03-29,181
2018-03-30,254
2018-03-31,143
2018-04-01,131
2018-04-02,193
2018-04-03,153
2018-04-04,195
2018-04-05,187
2018-04-06,165
2018-04-07,240
2018-04-08,113
2018-04-09,146
2018-04-10,138
2018-04-11,195
2018-04-12,169
2018-04-13,105
2018-04-14,143
2018-04-15,83
2018-04-16,231
2018-04-17,188
2018-04-18,134
2018-04-19,227
2018-04-20,142
2018-04-21,99
2018-04-22,1
2018-04-23,127
2018-04-24,146
2018-04-25,136
2018-04-26,239
2018-04-27,116
2018-04-28,136
2018-04-29,92
2018-04-30,127
2018-05-01,131
2018-05-02,125
2018-05-03,122
2018-05-04,104
2018-05-05,137
2018-05-06,117
2018-05-07,23
2018-05-08,0
2018-05-09,0
2018-05-10,0
2018-05-11,0
2018-05-12,0
2018-05-13,0
2018-05-14,6
2018-05-15,0
2018-05-16,0
2018-05-17,121
2018-05-18,0
2018-05-19,0
2018-05-20,0
2018-05-21,0
2018-05-22,0
2018-05-23,0
2018-05-24,0
2018-05-25,0
2018-05-26,0
2018-05-27,0
2018-05-28,0
2018-05-29,0
2018-05-30,0
2018-05-31,18
2018-06-01,168
2018-06-02,158
2018-06-03,132
2018-06-04,241
2018-06-05,117
2018-06-06,244
2018-06-07,0
2018-06-08,0
2018-06-09,135
2018-06-10,107
2018-06-11,197
2018-06-12,194
2018-06-13,214
2018-06-14,170
2018-06-15,260
2018-06-16,188
2018-06-17,127
2018-06-18,233
2018-06-19,119
2018-06-20,179
2018-06-21,298
2018-06-22,173
2018-06-23,180
2018-06-24,153
2018-06-25,254
2018-06-26,352
2018-06-27,283
2018-06-28,271
2018-06-29,278
2018-06-30,73
2018-07-01,83
2018-07-02,231
2018-07-03,342
2018-07-04,307
2018-07-05,289
2018-07-06,315
2018-07-07,67
2018-07-08,46
2018-07-09,247
2018-07-10,222
2018-07-11,281
2018-07-12,269
2018-07-13,242
2018-07-14,68
2018-07-15,109
2018-07-16,73
2018-07-17,89
2018-07-18,54
2018-07-19,60
2018-07-20,324
2018-07-21,0
2018-07-22,52
2018-07-23,227
2018-07-24,171
2018-07-25,189
2018-07-26,157
2018-07-27,253
2018-07-28,178
2018-07-29,65
2018-07-30,215
2018-07-31,289
2018-08-01,240
2018-08-02,269
2018-08-03,369
2018-08-04,127
2018-08-05,24
2018-08-06,308
2018-08-07,239
2018-08-08,242
2018-08-09,276
2018-08-10,298
2018-08-11,215
2018-08-12,106
2018-08-13,148
2018-08-14,190
2018-08-15,268
2018-08-16,298
2018-08-17,324
2018-08-18,162
2018-08-19,34
2018-08-20,121
2018-08-21,143
2018-08-22,264
2018-08-23,268
2018-08-24,177
2018-08-25,226
2018-08-26,310
2018-08-27,103
2018-08-28,112
2018-08-29,127
2018-08-30,152
2018-08-31,142
2018-09-01,65
2018-09-02,201
2018-09-03,140
2018-09-04,124
2018-09-05,102
2018-09-06,88
2018-09-07,144
2018-09-08,161
2018-09-09,66
2018-09-10,64
2018-09-11,134
2018-09-12,142
2018-09-13,104
2018-09-14,114
2018-09-15,33
2018-09-16,133
2018-09-17,115
2018-09-18,105
2018-09-19,77
2018-09-20,148
2018-09-21,202
2018-09-22,134
2018-09-23,196
2018-09-24,112
2018-09-25,134
2018-09-26,86
2018-09-27,67
2018-09-28,96
2018-09-29,178
2018-09-30,87
2018-10-01,119
2018-10-02,99
2018-10-03,94
2018-10-04,123
2018-10-05,149
2018-10-06,175
2018-10-07,30
2018-10-08,209
2018-10-09,195
2018-10-10,108
2018-10-11,84
2018-10-12,117
2018-10-13,118
2018-10-14,132
2018-10-15,159
2018-10-16,147
2018-10-17,100
2018-10-18,170
2018-10-19,257
2018-10-20,70
2018-10-21,11
2018-10-22,87
2018-10-23,150
2018-10-24,153
2018-10-25,169
2018-10-26,226
2018-10-27,82
2018-10-28,102
2018-10-29,156
2018-10-30,97
2018-10-31,154
