Date,Minutessedentary
2018-01-01,1432
2018-01-02,744
2018-01-03,1416
2018-01-04,1387
2018-01-05,1394
2018-01-06,1440
2018-01-07,1440
2018-01-08,1440
2018-01-09,1440
2018-01-10,1440
2018-01-11,1440
2018-01-12,1440
2018-01-13,1440
2018-01-14,1440
2018-01-15,1440
2018-01-16,1440
2018-01-17,1440
2018-01-18,1440
2018-01-19,1440
2018-01-20,1440
2018-01-21,1440
2018-01-22,1440
2018-01-23,1440
2018-01-24,1440
2018-01-25,1440
2018-01-26,1440
2018-01-27,1440
2018-01-28,1440
2018-01-29,1440
2018-01-30,796
2018-01-31,668
2018-02-01,830
2018-02-02,572
2018-02-03,913
2018-02-04,629
2018-02-05,915
2018-02-06,842
2018-02-07,672
2018-02-08,691
2018-02-09,777
2018-02-10,767
2018-02-11,615
2018-02-12,654
2018-02-13,812
2018-02-14,737
2018-02-15,830
2018-02-16,789
2018-02-17,730
2018-02-18,779
2018-02-19,784
2018-02-20,843
2018-02-21,612
2018-02-22,761
2018-02-23,924
2018-02-24,635
2018-02-25,831
2018-02-26,727
2018-02-27,1329
2018-02-28,1170
2018-03-01,857
2018-03-02,634
2018-03-03,693
2018-03-04,748
2018-03-05,660
2018-03-06,683
2018-03-07,678
2018-03-08,616
2018-03-09,1440
2018-03-10,1440
2018-03-11,1440
2018-03-12,1176
2018-03-13,954
2018-03-14,684
2018-03-15,788
2018-03-16,1296
2018-03-17,1334
2018-03-18,710
2018-03-19,744
2018-03-20,756
2018-03-21,703
2018-03-22,833
2018-03-23,969
2018-03-24,1343
2018-03-25,855
2018-03-26,614
2018-03-27,711
2018-03-28,613
2018-03-29,648
2018-03-30,714
2018-03-31,682
2018-04-01,898
2018-04-02,620
2018-04-03,699
2018-04-04,573
2018-04-05,724
2018-04-06,666
2018-04-07,535
2018-04-08,773
2018-04-09,720
2018-04-10,871
2018-04-11,626
2018-04-12,677
2018-04-13,911
2018-04-14,660
2018-04-15,770
2018-04-16,647
2018-04-17,770
2018-04-18,743
2018-04-19,654
2018-04-20,793
2018-04-21,784
2018-04-22,1439
2018-04-23,1239
2018-04-24,898
2018-04-25,1254
2018-04-26,725
2018-04-27,701
2018-04-28,698
2018-04-29,812
2018-04-30,755
2018-05-01,820
2018-05-02,751
2018-05-03,1034
2018-05-04,1095
2018-05-05,636
2018-05-06,834
2018-05-07,902
2018-05-08,1440
2018-05-09,1440
2018-05-10,1440
2018-05-11,1440
2018-05-12,1440
2018-05-13,1440
2018-05-14,1434
2018-05-15,1440
2018-05-16,1440
2018-05-17,1319
2018-05-18,1440
2018-05-19,1440
2018-05-20,1440
2018-05-21,1440
2018-05-22,1440
2018-05-23,1440
2018-05-24,1440
2018-05-25,1440
2018-05-26,1440
2018-05-27,1440
2018-05-28,1440
2018-05-29,1440
2018-05-30,1440
2018-05-31,1422
2018-06-01,704
2018-06-02,982
2018-06-03,787
2018-06-04,1188
2018-06-05,713
2018-06-06,857
2018-06-07,978
2018-06-08,1440
2018-06-09,1281
2018-06-10,1210
2018-06-11,633
2018-06-12,889
2018-06-13,710
2018-06-14,907
2018-06-15,1180
2018-06-16,760
2018-06-17,606
2018-06-18,841
2018-06-19,693
2018-06-20,814
2018-06-21,720
2018-06-22,917
2018-06-23,1126
2018-06-24,547
2018-06-25,667
2018-06-26,706
2018-06-27,735
2018-06-28,747
2018-06-29,816
2018-06-30,797
2018-07-01,705
2018-07-02,839
2018-07-03,777
2018-07-04,1049
2018-07-05,693
2018-07-06,760
2018-07-07,734
2018-07-08,1336
2018-07-09,767
2018-07-10,758
2018-07-11,803
2018-07-12,815
2018-07-13,566
2018-07-14,1116
2018-07-15,563
2018-07-16,780
2018-07-17,1184
2018-07-18,1386
2018-07-19,1380
2018-07-20,756
2018-07-21,1128
2018-07-22,1214
2018-07-23,780
2018-07-24,783
2018-07-25,700
2018-07-26,810
2018-07-27,1187
2018-07-28,1262
2018-07-29,686
2018-07-30,716
2018-07-31,708
2018-08-01,613
2018-08-02,642
2018-08-03,616
2018-08-04,785
2018-08-05,724
2018-08-06,744
2018-08-07,746
2018-08-08,670
2018-08-09,793
2018-08-10,735
2018-08-11,795
2018-08-12,833
2018-08-13,709
2018-08-14,878
2018-08-15,749
2018-08-16,677
2018-08-17,724
2018-08-18,644
2018-08-19,558
2018-08-20,697
2018-08-21,768
2018-08-22,1149
2018-08-23,1172
2018-08-24,1217
2018-08-25,1214
2018-08-26,813
2018-08-27,795
2018-08-28,626
2018-08-29,692
2018-08-30,660
2018-08-31,808
2018-09-01,656
2018-09-02,686
2018-09-03,848
2018-09-04,735
2018-09-05,1117
2018-09-06,727
2018-09-07,624
2018-09-08,937
2018-09-09,742
2018-09-10,875
2018-09-11,637
2018-09-12,661
2018-09-13,685
2018-09-14,714
2018-09-15,764
2018-09-16,522
2018-09-17,881
2018-09-18,774
2018-09-19,818
2018-09-20,1221
2018-09-21,676
2018-09-22,847
2018-09-23,634
2018-09-24,844
2018-09-25,873
2018-09-26,787
2018-09-27,765
2018-09-28,1344
2018-09-29,755
2018-09-30,840
2018-10-01,869
2018-10-02,831
2018-10-03,912
2018-10-04,851
2018-10-05,797
2018-10-06,832
2018-10-07,798
2018-10-08,607
2018-10-09,781
2018-10-10,898
2018-10-11,716
2018-10-12,715
2018-10-13,855
2018-10-14,771
2018-10-15,698
2018-10-16,670
2018-10-17,977
2018-10-18,905
2018-10-19,710
2018-10-20,1205
2018-10-21,1190
2018-10-22,1256
2018-10-23,732
2018-10-24,863
2018-10-25,713
2018-10-26,594
2018-10-27,1358
2018-10-28,736
2018-10-29,810
2018-10-30,763
2018-10-31,773
